# h/a,X_tt,Y_tt
0.23700000,71.21365686,35.60682843
0.23800000,70.61648092,35.30824046
0.23900000,70.02678902,35.01339451
0.24000000,69.44444598,34.72222299
0.24100000,68.86934072,34.43467036
0.24200000,68.30134861,34.15067430
0.24300000,67.74035284,33.87017642
0.24400000,67.18623901,33.59311951
0.24500000,66.63889992,33.31944996
0.24600000,66.09822071,33.04911035
0.24700000,65.56410323,32.78205161
0.24800000,65.03642304,32.51821152
0.24900000,64.51509098,32.25754549
0.25000000,64.00000108,32.00000054
0.25100000,63.49106296,31.74553148
0.25200000,62.98815715,31.49407858
0.25300000,62.49121892,31.24560946
0.25400000,62.00012445,31.00006222
0.25500000,61.51480760,30.75740380
0.25600000,61.03514930,30.51757465
0.25700000,60.56109843,30.28054921
0.25800000,60.09254780,30.04627390
0.25900000,59.62940098,29.81470049
0.26000000,59.17160228,29.58580114
0.26100000,58.71904297,29.35952148
0.26200000,58.27166966,29.13583483
0.26300000,57.82937021,28.91468510
0.26400000,57.39210098,28.69605049
0.26500000,56.95977866,28.47988933
0.26600000,56.53230779,28.26615390
0.26700000,56.10964391,28.05482196
0.26800000,55.69168780,27.84584390
0.26900000,55.27839683,27.63919842
0.27000000,54.86968185,27.43484092
0.27100000,54.46549191,27.23274596
0.27200000,54.06574111,27.03287055
0.27300000,53.67038379,26.83519189
0.27400000,53.27935256,26.63967628
0.27500000,52.89255990,26.44627995
0.27600000,52.50998137,26.25499068
0.27700000,52.13152589,26.06576294
0.27800000,51.75715813,25.87857906
0.27900000,51.38679610,25.69339805
0.28000000,51.02040588,25.51020294
0.28100000,50.65792511,25.32896255
0.28200000,50.29928162,25.14964081
0.28300000,49.94443805,24.97221903
0.28400000,49.59333004,24.79666502
0.28500000,49.24592139,24.62296069
0.28600000,48.90214443,24.45107221
0.28700000,48.56195915,24.28097957
0.28800000,48.22531563,24.11265782
0.28900000,47.89214469,23.94607234
0.29000000,47.56242873,23.78121436
0.29100000,47.23609546,23.61804773
0.29200000,46.91311824,23.45655912
0.29300000,46.59343203,23.29671601
0.29400000,46.27701120,23.13850560
0.29500000,45.96380668,22.98190334
0.29600000,45.65376125,22.82688062
0.29700000,45.34685075,22.67342537
0.29800000,45.04301514,22.52150757
0.29900000,44.74223118,22.37111559
0.30000000,44.44444502,22.22222251
0.30100000,44.14962559,22.07481280
0.30200000,43.85772933,21.92886467
0.30300000,43.56871357,21.78435679
0.30400000,43.28255294,21.64127647
0.30500000,42.99918955,21.49959477
0.30600000,42.71861527,21.35930763
0.30700000,42.44076574,21.22038287
0.30800000,42.16562938,21.08281469
0.30900000,41.89315542,20.94657771
0.31000000,41.62330968,20.81165484
0.31100000,41.35606977,20.67803489
0.31200000,41.09138736,20.54569368
0.31300000,40.82924464,20.41462232
0.31400000,40.56959468,20.28479734
